case_id,view_code,duration_sec,status,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_fused_changed,objects_rows,objects_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
front__090,front,3.333,ok,True,12,100,1186,100,12,12,0,20,201,1,False,1,1,1,8.0,1,0.4969,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__090
front__177,front,1.5,ok,True,0,0,0,0,0,0,0,9,111,1,False,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__177
front__23081,front,25.533,ok,True,16,766,9970,766,108,108,16,154,1613,11,False,11,11,11,8.0,11,0.4965,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__23081
front__28646,front,3.2,ok,True,12,96,1152,96,17,17,0,20,98,2,False,2,2,2,8.0,2,0.4931,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__28646
front__35288,front,2.04,ok,True,0,0,0,0,0,0,0,11,212,1,False,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__35288
front__50138,front,4.4,ok,True,7,132,894,132,7,7,0,27,259,1,False,1,1,1,7.0,1,0.5306,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/front/front__50138
rear__0499,rear,2.8,ok,True,12,84,1005,84,22,22,0,17,201,1,True,1,1,1,8.0,1,0.5749,asr_placeholder,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__0499
rear__154721,rear,3.067,ok,True,11,92,996,92,16,16,0,0,0,1,False,1,1,1,8.0,1,0.5087,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__154721
rear__258208,rear,20.233,ok,True,15,607,8150,607,105,105,0,117,265,14,False,14,14,11,6.2857,14,0.3742,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__258208
rear__282888,rear,11.96,ok,True,8,299,2273,299,47,47,0,58,169,6,False,6,6,6,8.0,6,0.5312,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__282888
rear__423312,rear,3.0,ok,True,12,90,1045,90,24,24,0,13,15,1,False,1,1,1,8.0,1,0.4633,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__423312
rear__443773,rear,7.96,ok,True,15,199,2254,199,60,60,5,34,76,2,False,2,2,2,8.0,2,0.4871,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/rear/rear__443773
teacher__0247,teacher,11.067,ok,True,12,332,3983,332,18,18,0,65,94,2,False,2,2,2,8.0,2,0.5015,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__0247
teacher__0522,teacher,97.767,ok,True,2,2933,3049,2933,17,17,0,17,18,32,False,32,32,32,1.375,32,0.4405,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__0522
teacher__0538,teacher,2.167,ok,True,0,0,0,0,0,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__0538
teacher__0642,teacher,5.4,ok,True,5,135,617,135,8,8,0,0,0,1,False,1,1,1,7.0,1,0.5191,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__0642
teacher__240102,teacher,9.9,ok,True,1,297,297,297,1,1,0,1,1,1,False,1,1,1,1.0,1,0.4754,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__240102
teacher__248311,teacher,12.933,ok,True,0,0,0,0,0,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/teacher/teacher__248311
top1__0706,top1,3.0,ok,True,5,90,438,90,6,6,0,18,469,1,False,1,1,1,5.0,1,0.5316,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__0706
top1__0968,top1,3.8,ok,True,5,95,475,95,16,16,0,19,374,1,False,1,1,1,8.0,1,0.4879,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__0968
top1__108017,top1,1.967,ok,True,0,0,0,0,0,0,0,12,153,1,False,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__108017
top1__176021,top1,13.9,ok,True,13,417,4710,417,31,31,0,72,162,6,False,6,6,6,8.0,6,0.4899,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__176021
top1__192217,top1,9.376,ok,True,13,281,3313,281,32,32,0,57,277,5,False,5,5,5,8.0,5,0.4925,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__192217
top1__233772,top1,56.467,ok,True,21,1694,24853,1694,162,162,2,339,6995,15,False,15,15,15,8.0,15,0.4961,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top1/top1__233772
top2__263180,top2,0.867,ok,True,0,0,0,0,0,0,0,2,2,1,False,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__263180
top2__336479,top2,3.333,ok,True,6,100,558,100,7,7,0,9,12,1,False,1,1,1,7.0,1,0.4855,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__336479
top2__376502,top2,10.933,ok,True,10,328,2511,328,63,63,0,66,867,6,False,6,6,6,8.0,6,0.4937,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__376502
top2__396146,top2,10.733,ok,True,18,322,4761,322,37,37,0,65,596,3,False,3,3,3,8.0,3,0.4618,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__396146
top2__443363,top2,3.333,ok,True,6,100,548,100,18,18,1,20,485,1,False,1,1,1,8.0,1,0.4883,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__443363
top2__445703,top2,36.633,ok,True,19,1099,16011,1099,110,110,0,220,1800,11,False,11,11,11,8.0,11,0.5241,,output/智慧课堂学生行为数据集/random6_20260420_yolo11x_object/top2/top2__445703
