case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
front__090,front,3.333,ok,85.06,True,12,100,1186,100,12,12,0,0,actions.jsonl,100,1007,0,0,1,False,1,1,1,8.0,1,0.4969,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__090
front__177,front,1.5,ok,64.55,True,11,45,495,45,11,11,0,0,actions.jsonl,45,550,0,0,1,False,1,1,1,8.0,1,0.4921,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__177
front__23081,front,25.533,ok,303.34,True,16,766,9970,766,108,108,0,0,actions.jsonl,766,7956,0,0,10,False,10,10,10,8.0,10,0.4968,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__23081
front__28646,front,3.2,ok,79.79,True,12,96,1152,96,17,17,0,0,actions.jsonl,96,467,0,0,2,False,2,2,2,8.0,2,0.4931,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__28646
front__35288,front,2.04,ok,68.27,True,3,51,136,51,3,3,0,0,actions.jsonl,51,967,0,0,1,False,1,1,1,3.0,1,0.4952,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__35288
front__50138,front,4.4,ok,98.53,True,7,132,894,132,7,7,0,0,actions.jsonl,132,1251,0,0,1,False,1,1,1,7.0,1,0.5306,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/front/front__50138
rear__0499,rear,2.8,ok,71.13,True,13,84,1070,84,25,25,0,0,actions.jsonl,84,1019,0,0,1,True,1,1,1,8.0,1,0.5749,asr_placeholder,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__0499
rear__154721,rear,3.067,ok,111.17,True,12,92,1062,92,17,17,0,0,actions.jsonl,0,0,0,0,1,False,1,1,1,8.0,1,0.5087,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__154721
rear__258208,rear,20.233,ok,229.79,True,15,607,8150,607,105,105,0,0,actions.jsonl,571,1314,0,0,2,False,2,2,2,8.0,2,0.5095,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__258208
rear__282888,rear,11.96,ok,226.55,True,8,299,2273,299,47,47,0,0,actions.jsonl,296,868,0,0,1,False,1,1,1,8.0,1,0.5436,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__282888
rear__423312,rear,3.0,ok,86.47,True,13,90,1107,90,27,27,0,0,actions.jsonl,71,77,0,0,1,False,1,1,1,8.0,1,0.4633,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__423312
rear__443773,rear,7.96,ok,110.27,True,15,199,2254,199,60,60,0,0,actions.jsonl,169,383,0,0,2,False,2,2,2,8.0,2,0.4871,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/rear/rear__443773
teacher__0247,teacher,11.067,ok,112.09,True,12,332,3983,332,18,18,0,0,actions.jsonl,326,464,0,0,2,False,2,2,2,8.0,2,0.5015,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__0247
teacher__0522,teacher,97.767,ok,440.5,True,2,2933,3049,2933,17,17,0,0,actions.jsonl,93,94,0,0,32,False,32,32,32,1.5,32,0.4401,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__0522
teacher__0538,teacher,2.167,ok,41.13,True,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__0538
teacher__0642,teacher,5.4,ok,53.02,True,5,135,617,135,8,8,0,0,actions.jsonl,0,0,0,0,1,False,1,1,1,7.0,1,0.5191,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__0642
teacher__240102,teacher,9.9,ok,67.86,True,1,297,297,297,1,1,0,0,actions.jsonl,6,6,0,0,1,False,1,1,1,1.0,1,0.4754,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__240102
teacher__248311,teacher,12.933,ok,94.67,True,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/teacher/teacher__248311
top1__0706,top1,3.0,ok,44.56,True,7,90,555,90,11,11,0,0,actions.jsonl,90,2353,0,0,1,True,1,1,1,7.0,1,0.6096,asr_placeholder,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__0706
top1__0968,top1,3.8,ok,66.95,True,6,95,532,95,18,18,0,0,actions.jsonl,95,1876,0,0,1,False,1,1,1,8.0,1,0.4879,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__0968
top1__108017,top1,1.967,ok,40.67,True,8,59,472,59,9,9,0,0,actions.jsonl,59,755,0,0,1,False,1,1,1,8.0,1,0.4957,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__108017
top1__176021,top1,13.9,ok,84.33,True,13,417,4710,417,31,31,0,0,actions.jsonl,357,814,0,0,6,False,6,6,6,8.0,6,0.4899,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__176021
top1__192217,top1,9.376,ok,66.29,True,13,281,3313,281,32,32,0,0,actions.jsonl,281,1323,0,0,5,False,5,5,5,8.0,5,0.4925,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__192217
top1__233772,top1,56.467,ok,231.38,True,21,1694,24853,1694,162,162,0,0,actions.jsonl,1694,34971,0,0,18,False,18,18,18,8.0,18,0.4971,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top1/top1__233772
top2__263180,top2,0.867,ok,34.84,True,17,26,414,26,22,22,0,0,actions.jsonl,7,8,0,0,1,False,1,1,1,8.0,1,0.4834,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__263180
top2__336479,top2,3.333,ok,45.51,True,7,100,630,100,8,8,0,0,actions.jsonl,40,54,0,0,1,False,1,1,1,8.0,1,0.4855,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__336479
top2__376502,top2,10.933,ok,68.92,True,10,328,2511,328,63,63,0,0,actions.jsonl,328,4334,0,0,6,False,6,6,6,8.0,6,0.4937,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__376502
top2__396146,top2,10.733,ok,68.79,True,18,322,4761,322,37,37,0,0,actions.jsonl,322,2972,0,0,3,False,3,3,3,8.0,3,0.4618,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__396146
top2__443363,top2,3.333,ok,42.42,True,10,100,808,100,29,29,0,0,actions.jsonl,100,2400,0,0,1,False,1,1,1,8.0,1,0.4883,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__443363
top2__445703,top2,36.633,ok,158.6,True,19,1099,16011,1099,110,110,0,0,actions.jsonl,1099,8987,0,0,15,False,15,15,15,8.0,15,0.5221,,output/智慧课堂学生行为数据集/random6_20260420_mainline_v3/top2/top2__445703
